 id  |         name          | level |         kingdom         | towerType |                                                imageUrl                                                
  76 | orc warriors den, 4   | 4     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-orc4.png
  77 | shadow archers, 1     | 1     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shadow-archer-1.png
  78 | shadow archers, 2     | 2     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shadow-archer-2.png
  79 | shadow archers, 3     | 3     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shadow-archer-3.png
  80 | shadow archers, 4     | 4     | kingdom rush: vengeance | archer    | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shadow-archer-4.png
  81 | melting furnace, 1    | 1     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-furnace-1.png
  82 | melting furnace, 2    | 2     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-furnace-2.png
  83 | melting furnace, 3    | 3     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-furnace-3.png
  84 | melting furnace, 4    | 4     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-furnace-4.png
  85 | rocket riders, 1      | 1     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-rocket-1.png
  86 | rocket riders, 2      | 2     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-rocket-2.png
  87 | rocket riders, 3      | 3     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-rocket-3.png
  88 | rocket riders, 4      | 4     | kingdom rush: vengeance | artillery | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-rocket-4.png
  89 | infernal mage, 1      | 1     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-infernal-mage-1.png
  90 | infernal mage, 2      | 2     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-infernal-mage-2.png
  91 | infernal mage, 3      | 3     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-infernal-mage-3.png
  92 | infernal mage, 4      | 4     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-infernal-mage-4.png
  93 | elite harassers, 1    | 1     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-elite-harasser-2.png
  94 | elite harassers, 2    | 2     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-elite-harasser-3.png
  95 | elite harassers, 3    | 3     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-elite-harasser-1.png
  96 | elite harassers, 4    | 4     | kingdom rush: vengeance | barracks  | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-elite-harasser-4.png
  97 | specters mausoleum, 1 | 1     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-specters-mausoleum-1.png
  98 | specters mausoleum, 2 | 2     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-specters-mausoleum-2.png
  99 | specters mausoleum, 3 | 3     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-specters-mausoleum-3.png
 100 | specters mausoleum, 4 | 4     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-specters-mausoleum-4.png
 101 | orc shaman, 1         | 1     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shaman1.png
 102 | orc shaman, 2         | 2     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shaman2.png
 103 | orc shaman, 3         | 3     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shaman3.png
 104 | orc shaman, 4         | 4     | kingdom rush: vengeance | mage      | https://storage.googleapis.com/kingdom-rush-towers.appspot.com/krv-shaman4.png
(104 rows)

