 id  | level | cost | abilityId 
 209 |     1 |  180 |        79
 210 |     0 |  110 |        80
 211 |     1 |  110 |        80
 212 |     2 |  110 |        80
 213 |     0 |  300 |        81
 214 |     0 |  180 |        82
 215 |     1 |  180 |        82
 216 |     0 |  140 |        83
 217 |     1 |  140 |        83
 218 |     2 |  140 |        83
 219 |     0 |  220 |        84
 220 |     0 |  130 |        85
 221 |     1 |  130 |        85
 222 |     2 |  130 |        85
 223 |     0 |  200 |        86
 224 |     1 |  200 |        86
 225 |     2 |  200 |        86
 226 |     0 |  180 |        87
 227 |     1 |  180 |        87
 228 |     2 |  180 |        87
(228 rows)

