 id  |         name          | towerType | level |         kingdom
  40 | tribal axethrower     | archer    | 4     | kingdom rush: frontiers
  41 | hunter arbor          | archer    | 1     | kingdom rush: origin
  42 | watcher arbor         | archer    | 2     | kingdom rush: origin
  43 | sentinel arbor        | archer    | 3     | kingdom rush: origin
  44 | arcane archers        | archer    | 4     | kingdom rush: origin
  45 | golden longbows       | archer    | 4     | kingdom rush: origin
  46 | militia barracks      | barracks  | 1     | kingdom rush
  47 | footmen barracks      | barracks  | 2     | kingdom rush
  48 | knights barracks      | barracks  | 3     | kingdom rush
  49 | holy order            | barracks  | 4     | kingdom rush
  50 | barbarian mead hall   | barracks  | 4     | kingdom rush
  51 | militia barracks      | barracks  | 1     | kingdom rush: frontiers
  52 | footmen barracks      | barracks  | 2     | kingdom rush: frontiers
  53 | knights barracks      | barracks  | 3     | kingdom rush: frontiers
  54 | assassins' guild      | barracks  | 4     | kingdom rush: frontiers
  55 | knights templar       | barracks  | 4     | kingdom rush: frontiers
  56 | defender barracks     | barracks  | 1     | kingdom rush: origin
  57 | warden barracks       | barracks  | 2     | kingdom rush: origin
  58 | ranger barracks       | barracks  | 3     | kingdom rush: origin
  59 | bladesinger hall      | barracks  | 4     | kingdom rush: origin
  60 | forest keepers        | barracks  | 4     | kingdom rush: origin
  61 | dark knights, 1       | barracks  | 1     | kingdom rush: vengeance
  62 | dark knights, 2       | barracks  | 2     | kingdom rush: vengeance
  63 | dark knights, 3       | barracks  | 3     | kingdom rush: vengeance
  64 | dark knights, 4       | barracks  | 4     | kingdom rush: vengeance
  65 | goblirangs, 1         | archer    | 1     | kingdom rush: vengeance
  66 | goblirangs, 2         | archer    | 2     | kingdom rush: vengeance
  67 | goblirangs, 3         | archer    | 3     | kingdom rush: vengeance
  68 | goblirangs, 4         | archer    | 4     | kingdom rush: vengeance
  69 | bone flingers, 1      | archer    | 1     | kingdom rush: vengeance
  70 | bone flingers, 2      | archer    | 2     | kingdom rush: vengeance
  71 | bone flingers, 3      | archer    | 3     | kingdom rush: vengeance
  72 | bone flingers, 4      | archer    | 4     | kingdom rush: vengeance
  73 | orc warriors den, 1   | barracks  | 1     | kingdom rush: vengeance
  74 | orc warriors den, 2   | barracks  | 2     | kingdom rush: vengeance
  75 | orc warriors den, 3   | barracks  | 3     | kingdom rush: vengeance
  76 | orc warriors den, 4   | barracks  | 4     | kingdom rush: vengeance
  77 | shadow archers, 1     | archer    | 1     | kingdom rush: vengeance
  78 | shadow archers, 2     | archer    | 2     | kingdom rush: vengeance
  79 | shadow archers, 3     | archer    | 3     | kingdom rush: vengeance
  80 | shadow archers, 4     | archer    | 4     | kingdom rush: vengeance
  81 | melting furnace, 1    | artillery | 1     | kingdom rush: vengeance
  82 | melting furnace, 2    | artillery | 2     | kingdom rush: vengeance
  83 | melting furnace, 3    | artillery | 3     | kingdom rush: vengeance
  84 | melting furnace, 4    | artillery | 4     | kingdom rush: vengeance
  85 | rocket riders, 1      | artillery | 1     | kingdom rush: vengeance
  86 | rocket riders, 2      | artillery | 2     | kingdom rush: vengeance
  87 | rocket riders, 3      | artillery | 3     | kingdom rush: vengeance
  88 | rocket riders, 4      | artillery | 4     | kingdom rush: vengeance
  89 | infernal mage, 1      | mage      | 1     | kingdom rush: vengeance
  90 | infernal mage, 2      | mage      | 2     | kingdom rush: vengeance
  91 | infernal mage, 3      | mage      | 3     | kingdom rush: vengeance
  92 | infernal mage, 4      | mage      | 4     | kingdom rush: vengeance
  93 | Elite Harassers, 1    | barracks  | 1     | kingdom rush: vengeance
  94 | Elite Harassers, 2    | barracks  | 2     | kingdom rush: vengeance
  95 | Elite Harassers, 3    | barracks  | 3     | kingdom rush: vengeance
  96 | Elite Harassers, 4    | barracks  | 4     | kingdom rush: vengeance
  97 | specters mausoleum, 1 | mage      | 1     | kingdom rush: vengeance
  98 | specters mausoleum, 2 | mage      | 2     | kingdom rush: vengeance
  99 | specters mausoleum, 3 | mage      | 3     | kingdom rush: vengeance
 100 | specters mausoleum, 4 | mage      | 4     | kingdom rush: vengeance
 101 | orc shaman, 1         | mage      | 1     | kingdom rush: vengeance
 102 | orc shaman, 2         | mage      | 2     | kingdom rush: vengeance
 103 | orc shaman, 3         | mage      | 3     | kingdom rush: vengeance
 104 | orc shaman, 4         | mage      | 4     | kingdom rush: vengeance
(104 rows)
